experiment_id,timestamp,batch_size,shuffle_buffer,epochs,learning_rate,dropout_rate,l1,l2,train_loss,val_loss,train_accuracy,val_accuracy,training_time_min,acc_normal,precision_normal,recall_normal,f1_normal,acc_benign,precision_benign,recall_benign,f1_benign,acc_malignant,precision_malignant,recall_malignant,f1_malignant
60,2026-01-28T14:21:31.748294,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.5332573056221008,0.8380091190338135,0.897396445274353,0.7455089688301086,20.50259728829066,0.9167041873030166,0.969369941279162,0.9167041873030166,0.9423017587164455,0.6441821247892074,0.35239852398523985,0.6441821247892074,0.4555754323196184,0.2676056338028169,0.3838383838383838,0.2676056338028169,0.3153526970954357
61,2026-01-28T15:21:08.522961,64,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.6496871113777161,0.37298017740249634,0.8747069835662842,0.8803697228431702,11.386040087540945,0.994597028365601,0.898332655551037,0.994597028365601,0.944017094017094,0.2411467116357504,0.5437262357414449,0.2411467116357504,0.3341121495327103,0.051643192488262914,0.5238095238095238,0.051643192488262914,0.09401709401709402
62,2026-01-28T15:33:32.922491,64,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.623107373714447,0.3724138140678406,0.8786794543266296,0.8430096507072449,11.454983882109325,0.9743358847366052,0.9103912494741271,0.9743358847366052,0.941278816876903,0.31703204047217537,0.3686274509803922,0.31703204047217537,0.34088848594741616,0.046948356807511735,0.4878048780487805,0.046948356807511735,0.08565310492505353
63,2026-01-28T15:46:35.711726,64,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.6076595783233643,0.46419358253479004,0.8824908137321472,0.8728196024894714,11.474652806917826,0.8719795887738256,0.9683333333333334,0.8719795887738256,0.9176340519624102,0.6492411467116358,0.2589105581708137,0.6492411467116358,0.3701923076923077,0.1572769953051643,0.3435897435897436,0.1572769953051643,0.21578099838969403
64,2026-01-28T16:00:29.525436,64,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.5610355138778687,0.4170811176300049,0.8347678184509277,0.8378026485443115,11.46659322977066,0.910100555305418,0.9533092281087879,0.910100555305418,0.9312039312039312,0.1399662731871838,0.45108695652173914,0.1399662731871838,0.21364221364221364,0.6924882629107981,0.2594547053649956,0.6924882629107981,0.37747920665387075
65,2026-01-28T16:13:08.433145,64,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.5406965017318726,0.49656403064727783,0.8441799879074097,0.8773756623268127,11.50460679133733,0.9738856371004052,0.8945409429280397,0.9738856371004052,0.9325285621901271,0.21922428330522767,0.35714285714285715,0.21922428330522767,0.2716823406478579,0.04929577464788732,0.328125,0.04929577464788732,0.08571428571428572
66,2026-01-28T16:25:42.969443,64,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.5545157790184021,0.3508131504058838,0.8346604704856873,0.8734704256057739,11.438251101970673,0.9885937265496023,0.8944866920152091,0.9885937265496023,0.9391887074926927,0.2057335581787521,0.38485804416403785,0.2057335581787521,0.2681318681318681,0.002347417840375587,1.0,0.002347417840375587,0.00468384074941452
67,2026-01-28T17:58:17.477521,32,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.542734682559967,1.146641492843628,0.8965911865234375,0.6888831257820129,41.27270915110906,0.9362149182050128,0.9374812143071837,0.9362149182050128,0.9368476383569873,0.21922428330522767,0.46099290780141844,0.21922428330522767,0.29714285714285715,0.4671361502347418,0.2667560321715818,0.4671361502347418,0.3395904436860068
68,2026-01-28T18:50:41.281928,32,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.5088271498680115,2.4066162109375,0.904518187046051,0.7215569019317627,49.75704220930735,0.7107909350142578,0.966530612244898,0.7107909350142578,0.819164576666955,0.7757166947723441,0.17477203647416414,0.7757166947723441,0.28527131782945736,0.12206572769953052,0.3466666666666667,0.12206572769953052,0.18055555555555555
69,2026-01-28T19:42:53.852540,32,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.46940290927886963,0.2479700744152069,0.9150577187538147,0.8922155499458313,51.51019484996796,0.9470208614738106,0.9763267832276032,0.9470208614738106,0.961450556148103,0.5750421585160203,0.42098765432098767,0.5750421585160203,0.48610121168923737,0.4765258215962441,0.4963325183374083,0.4765258215962441,0.48622754491017967
